no,업체명,제품명,주성분,첨가제,허가일,제조/수입,모양,장축,단축,수입제조국,주성분영문
4904,조아제약(주),조아디오스민캡슐,디오스민,"상, 하 녹색의 경질캡슐,포비돈",1992-10-06,제조,장방형,20.7,7.2,,Diosmin
4905,조아제약(주),조아로라타딘시럽,로라타딘,"프로필렌글리콜,벤조산나트륨,시트르산,백당,수크랄로스,스트로베리엣센스 비-5016,농글리세린,정제수",2020-09-25,제조,,,,,Loratadine
4906,조아제약(주),조아복합파모티딘정,파모티딘/수산화마그네슘/침강탄산칼슘,"저치환도히드록시프로필셀룰로오스,오파드라이 녹색 (03B41083),유당수화물,콜로이드성이산화규소,스테아르산마그네슘,옥수수전분",2021-08-09,제조,,,,,Famotidine/Magnesium Hydroxide/Precipitated Calcium Carbonate
4907,조아제약(주),조아스트롱조인트겔(케토프로펜),케토프로펜,"폴리에틸렌글리콜400,트롤라민,카보머941,L-멘톨,카보머 940,파라옥시벤조산메틸,에탄올,정제수",2000-08-25,제조,,,,,Ketoprofen
4908,조아제약(주),조아아시클로버크림(아시클로버),아시클로버,"프로필렌글리콜,스테아르산,부틸레이티드히드록시톨루엔,토코페롤아세테이트,소르비탄세스퀴올레에이트,파라옥시벤조산프로필,트롤아민,에데트산나트륨수화물,세탄올,폴리소르베이트60,친유형글리세릴스테아레이트,카보머 940,디메티콘,트리옥타노인,유동파라핀,파라옥시벤조산메틸,정제수",2000-08-25,제조,,,,,Acyclovir
4909,조아제약(주),조아아크네겔(가수과산화벤조일),가수과산화벤조일,"프로필렌글리콜,라우릴황산나트륨액,수산화나트륨,콜로이드성 이산화규소,글리세린,파라옥시벤조산프로필,폴록사머188,에데트산나트륨수화물,카보머 940,파라옥시벤조산메틸,히알루론산나트륨(2),디메티콘,에탄올,정제수",2014-11-06,제조,,,,,Hydrous Benzoyl Peroxide
4910,조아제약(주),조아이부프로펜400밀리그람정(수출용),이부프로펜,"콜로이달실리콘디옥사이드,포비돈 K30,폴리에틸렌글리콜4000,유당수화물,저치환도히드록시프로필렌셀룰로오스,산화티탄,스테아르산마그네슘,히프로멜로오스 2910,카르복시메틸셀룰로오스칼슘,탤크,옥수수전분",1996-07-06,제조,장방형,17.25,9.3,,Ibuprofen
4911,조아제약(주),조아케어로션1%(히드로코르티손),히드로코르티손,"라놀린,프로필렌글리콜,스테아르산,카보머940,토코페롤아세테이트,PVPㆍ에이코신공중합체,트롤아민,파라옥시벤조산프로필,에데트산나트륨수화물,세탄올,폴리소르베이트60,친유형글리세릴스테아레이트,카보머941,유동파라핀,디메티콘,소르비탄스테아레이트,부틸렌글리콜,글리세릴스테아레이트SE,파라옥시벤조산메틸,농글리세린,카프릴릭.카프릭트리글리세라이드,정제수",2014-09-03,제조,,,,,Hydrocortisone
4912,조아제약(주),조아토닉캡슐(수출용),건조레티놀팔미테이트과립/에르고칼시페롤과립/DL-메티오닌/L-류신/L-발린/L-이소류신/L-트레오닌/L-트리프토판/L-페닐알라닌/L-리신염산염/토코페롤아세테이트 2배산/티아민질산염/리보플라빈/니코틴아마이드/피리독신염산염/판토텐산칼슘/시아노코발라민1000배산/폴산/아스코르브산97%,"스테아르산마그네슘,상,하 갈색의 경질캡슐,탤크,옥수수전분",2003-03-26,제조,장방형,19.0,6.4,,Dried Retinol Palmitate Granules/Ergocalciferol Granules/DL-Methionine/L-Leucine/L-Valine/L-Isoleucine/L-Threonine/L-Tryptophan/L-Phenylalanine/L-Lysine Hydrochloride/Tocopherol Acetate Powder 50%/Thiamine Nitrate/Riboflavin/Nicotinamide/Pyridoxine Hydrochloride/Calcium Pantothenate/Cyanocobalamin Powder 0.1%/Folic Acid/Ascorbic Acid 97%
4913,조아제약(주),조아티로겔(티로트리신),티로트리신,"프로필렌글리콜,세틸피리디늄염화물수화물,카보머940,트로메타민,에탄올,정제수",2014-03-12,제조,,,,,Tyrothricin
4914,조아제약(주),조아파모티딘정10밀리그램,파모티딘,"오파드라이흰색(85F18422),미결정셀룰로오스,유당수화물,황색203호알루미늄레이크,콜로이드성이산화규소,스테아르산마그네슘,카르복시메틸셀룰로오스칼슘,청색1호알루미늄레이크",2020-10-30,제조,,,,,Famotidine
4915,(주)오현파마코푸레이션,조아팝(플루르비프로펜),플루르비프로펜,"정제라놀린,플라스틱필름,박하유,이산화규소,산화티탄,스티렌이소프렌스티렌블럭공중합체/탄화수소수지 점착제,산화아연,L-멘톨,알코올,유동파라핀,부직포",2001-01-26,수입,,,,대만,Flurbiprofen
4916,조아제약(주),조아포인트플라스타,살리실산메틸/L-멘톨/dl-캄파/박하유/토코페롤아세테이트/디펜히드라민/노닐산바닐릴아미드,"폴리이소부틸렌,부틸레이티드히드록시톨루엔,수소첨가 C6-20폴리올레핀,스티렌이소프렌스티렌블록공중합체,폴리에틸렌테레프탈레이트 세파레이터,유동파라핀,부직포",2017-04-18,제조,,,,,Methyl Salicylate/L-Menthol/DL-Camphor/Mentha Herb Oil/Tocopherol Acetate/Diphenhydramine/Vanillyl Nonylamide
4917,조아제약(주),조은아이시럽,니코틴산아미드/이노시톨/티아민질산염/피리독신염산염/콜린타르타르산염/비오틴,"벤조산나트륨,리보플라빈포스페이트나트륨,베타인,시트르산,수크랄로스,효소처리스테비아,스트로베리엣센스 비-5016,정제수",2021-04-21,제조,,,,,Nicotinamide/Inositol/Thiamine Nitrate/Pyridoxine Hydrochloride/Choline Tartrate/Biotin
4918,조아제약(주),조은아이엠플러스시럽,니코틴산아미드/이노시톨/티아민질산염/피리독신염산염/콜린타르타르산염/비오틴/락트산칼슘수화물/황산아연일수화물/글리세로인산마그네슘,"벤조산나트륨,리보플라빈포스페이트나트륨,베타인,감귤향 #2(MF-080530),수크랄로스,효소처리스테비아,DL-사과산,정제수",2022-08-08,제조,,,,,Nicotinamide/Inositol/Thiamine Nitrate/Pyridoxine Hydrochloride/Choline Tartrate/Biotin/Calcium Lactate Hydrate/Zinc Sulfate Hydrate/Magnesium Glycerophosphate
4919,조아제약(주),조은아이포르테시럽,니코틴산아미드/이노시톨/티아민질산염/피리독신염산염/콜린타르타르산염/DL-메티오닌/비오틴,"벤조산나트륨,매실향 U-22AJ,리보플라빈포스페이트나트륨,시트르산,베타인,수크랄로스,효소처리스테비아,정제수",2021-04-21,제조,,,,,Nicotinamide/Inositol/Thiamine Nitrate/Pyridoxine Hydrochloride/Choline Tartrate/DL-Methionine/Biotin
4920,주식회사 더유제약,조이락스크림(아시클로버),아시클로버,"정제라놀린,프로필렌글리콜,글리세린모노스테아레이트,스테아르산,세틸팔미테이트,부틸히드록시톨루엔,파라옥시벤조산프로필,조합향료(스킨케어 23538),세탄올,폴리소르베이트60,유동파라핀,백색바셀린,폴리옥시에틸렌세틸에테르,파라옥시벤조산메틸,미리스트산이소프로필,정제수",2020-06-25,제조,,,,,Acyclovir
4921,한솔신약(주),조이락정,비사코딜/도큐세이트나트륨,"저치환도히드록시프로필셀룰로오스,미결정셀룰로오스,유당수화물,스테아르산마그네슘,탭쉴드녹색(319G977),경질무수규산,카르복시메틸셀룰로오스칼슘,탤크,옥수수전분,히드록시프로필셀룰로오스",2023-11-01,제조,,,,,Bisacodyl/Docusate Sodium
4922,한솔신약(주),조이퀸정,비사코딜/도큐세이트나트륨,"미결정셀룰로오스,탭쉴드흰색(11W001),유당수화물,스테아르산마그네슘,카르복시메틸셀룰로오스칼슘,탭쉴드 녹색 39G766,히드록시프로필셀룰로오스",2023-09-19,제조,,,,,Bisacodyl/Docusate Sodium
4923,한국신텍스제약(주),조인88플라스타(디클로페낙나트륨),디클로페낙나트륨,"린트포,소르비탄세스퀴올레에이트,폴리에틸렌테레프탈레이트 세파레이터,아크릴레이트/비닐아세테이트 점착용액,폴리옥시에틸렌(2)라우릴 에테르(BL2),L-멘톨,알루미늄아세틸아세토네이트용액",2019-08-14,제조,,,,,Diclofenac Sodium
4924,태극제약(주),"조인릴리프겔(엘멘톨)(수출용)(수출명:머슬앤조인트바니싱센트겔,머슬앤조인트페인릴리프겔)",L-멘톨,"수산화나트륨,dl-캄파,이소프로판올,폴리소르베이트 80,카보머 940,소르베이트칼륨,파라옥시벤조산메틸,정제수",2007-04-06,제조,,,,,L-Menthol
4925,태극제약(주),조인릴리프겔3.1%(l-멘톨)(수출용),L-멘톨,"프로필렌글리콜,수산화나트륨,이산화규소,이소프로판올,카보머호모폴리머,청색 1호,파라옥시벤조산메틸,농글리세린,정제수",2015-11-16,제조,,,,,L-Menthol
4926,태극제약(주),조인릴리프겔4%(l-멘톨)(수출용),l-멘톨,"아르니카추출물,프로필렌글리콜,수산화나트륨,dl-캄파,토코페롤아세테이트,이산화규소,혼합초록색,이소프로판올,카보머호모폴리머,청색 1호,파라옥시벤조산메틸,농글리세린,정제수",2016-08-01,제조,,,,,L-Menthol
4927,(주)유한양행,조인본골드정,산화마그네슘/벤포티아민/피리독신염산염97%과립/시아노코발라민 100배산/농축콜레칼시페롤 산/무수인산수소칼슘/콘드로이틴설페이트나트륨,"미결정셀룰로오스,크로스포비돈,탭쉴드흰색(29W925),콜로이드성이산화규소,스테아르산마그네슘,카르나우바납,탭쉴드빨간색(29R727)",2019-06-25,제조,타원형,19.8,9.3,,Magnesium Oxide/Benfotiamine/Pyridoxine Hydrochloride Powder 97%/Cyanocobalamin Powder 1%/Cholecalciferol Concentrate Powder/Anhydrous Dibasic Calcium Phosphate/Sodium Chondroitin Sulfate
4928,성이바이오제약주식회사,조인브이정,콘드로이틴설페이트나트륨/푸르설티아민/니코틴산아미드/피리독신염산염/판토텐산칼슘/리보플라빈부티레이트/감마-오리자놀/시아노코발라민 1000배산/이노시톨/산화마그네슘,"저치환도히드록시프로필셀룰로오스,미결정셀룰로오스,크로스포비돈,스테아르산마그네슘,경질무수규산,전분글리콜산나트륨,탭쉴드갈색(99B703),히드록시프로필셀룰로오스",2021-05-11,제조,,,,,Sodium Chondroitin Sulfate/Fursultiamine/Nicotinamide/Pyridoxine Hydrochloride/Calcium Pantothenate/Riboflavin Butyrate/Gamma-Oryzanol/Cyanocobalamin Powder 0.1%/Inositol/Magnesium Oxide
4929,성이바이오제약주식회사,조인브이플러스정,콘드로이틴설페이트나트륨/푸르설티아민/니코틴산아미드/피리독신염산염/판토텐산칼슘/리보플라빈부티레이트/감마-오리자놀/시아노코발라민 1000배산/이노시톨/콜린타르타르산염,"미결정셀룰로오스,스테아르산마그네슘,경질무수규산,전분글리콜산나트륨,탭쉴드갈색(99B703)",2022-02-03,제조,장방형,19.9,8.7,,Sodium Chondroitin Sulfate/Fursultiamine/Nicotinamide/Pyridoxine Hydrochloride/Calcium Pantothenate/Riboflavin Butyrate/Gamma-Oryzanol/Cyanocobalamin Powder 0.1%/Inositol/Choline Tartrate
4930,알리코제약(주),조인스탑연질캡슐,콘드로이틴설페이트나트륨/푸르설티아민/리보플라빈부티레이트/니코틴산아미드/판토텐산칼슘/피리독신염산염/시아노코발라민/토코페롤아세테이트/γ-오리자놀,"콩기름,레시틴,황색5호,에틸바닐린,젤라틴,소르비톨액(비결정성),산화티탄,적색40호,팜유,백납,농글리세린",2008-12-17,제조,타원형,24.75,2.8,,Sodium Chondroitin Sulfate/Fursultiamine/Riboflavin Butyrate/Nicotinamide/Calcium Pantothenate/Pyridoxine Hydrochloride/Cyanocobalamin/Tocopherol Acetate/Gamma-Oryzanol
4931,메딕스제약(주),조인액트800정,콘드로이틴설페이트나트륨/벤포티아민/니코틴산아미드/피리독신염산염/판토텐산칼슘/리보플라빈/콜레칼시페롤농축분말/메코발라민/산화마그네슘/시트르산칼슘수화물,"유당수화물,스테아르산마그네슘,경질무수규산,탭쉴드노란색(52Y241),전분글리콜산나트륨",2023-10-25,제조,,,,,Sodium Chondroitin Sulfate/Benfotiamine/Nicotinamide/Pyridoxine Hydrochloride/Calcium Pantothenate/Riboflavin/Cholecalciferol Concentrate Powder/Mecobalamin/Magnesium Oxide/Calcium Citrate Hydrate
4932,(주)이든파마,조인앤콘틴600정,γ-오리자놀/푸르설티아민/니코틴산아미드/콜린타르타르산염/판토텐산칼슘/리보플라빈부티레이트/이노시톨/콘드로이틴설페이트나트륨/피리독신염산염/시아노코발라민1000배산,"미결정셀룰로오스,유당수화물,스테아르산마그네슘,히프로멜로오스 2910,경질무수규산,이스프레이적색(GMIEKR26B),전분글리콜산나트륨,히드록시프로필셀룰로오스",2019-03-08,제조,,,,,Gamma-Oryzanol/Fursultiamine/Nicotinamide/Choline Tartrate/Calcium Pantothenate/Riboflavin Butyrate/Inositol/Sodium Chondroitin Sulfate/Pyridoxine Hydrochloride/Cyanocobalamin Powder 0.1%
4933,일양약품(주),조인업첩부제(플루르비프로펜),플루르비프로펜,"고무계 점착용액,아크릴계 점착용액,실리코나이즈드폴리에스테르필름,부직포,l-멘톨",2005-01-11,제조,,,,,Flurbiprofen
4934,성이바이오제약주식회사,조인엔콘드800정,콘드로이틴설페이트나트륨/벤포티아민/니코틴산아미드/피리독신염산염/판토텐산칼슘/리보플라빈/메코발라민/농축콜레칼시페롤 산/이노시톨/콜린타르타르산염,"미결정셀룰로오스,크로스포비돈,스테아르산마그네슘,경질무수규산,전분글리콜산나트륨,탭쉴드갈색(99B703)",2022-02-07,제조,장방형,19.8,8.8,,Sodium Chondroitin Sulfate/Benfotiamine/Nicotinamide/Pyridoxine Hydrochloride/Calcium Pantothenate/Riboflavin/Mecobalamin/Cholecalciferol Concentrate Powder/Inositol/Choline Tartrate
4935,(주)테라젠이텍스,조인콘사민연질캡슐,콘드로이틴설페이트나트륨/푸르설티아민/리보플라빈부티레이트/니코틴산아미드/판토텐산칼슘/피리독신염산염/시아노코발라민/토코페롤아세테이트/γ-오리자놀,"콩기름,레시틴,황색5호,에틸바닐린,젤라틴,소르비톨액(비결정성),산화티탄,적색40호,팜유,백납,농글리세린",2008-06-23,제조,장방형,24.3,8.4,,Sodium Chondroitin Sulfate/Fursultiamine/Riboflavin Butyrate/Nicotinamide/Calcium Pantothenate/Pyridoxine Hydrochloride/Cyanocobalamin/Tocopherol Acetate/Gamma-Oryzanol
4936,신신제약(주),조인쿨카타플라스마(수출용)(살리실산메칠)(수출명:별첨),살리실산메틸,"타르타르산,플라스틱필름,폴리소르베이트80,피마자유,폴리에틸렌글리콜모노스테아레이트,부틸히드록시톨루엔,메타규산알루민산마그네슘,산화티탄,젤라틴,폴리아크릴산나트륨,에데트산나트륨수화물,포비돈,폴리비닐알코올,파라옥시벤조산메틸,카올린,건조수산화알루미늄겔,농글리세린,정제수,부직포",2005-07-28,제조,,,,,Methyl Salicylate
4937,일양약품(주),조인탑200연질캡슐,콘드로이틴설페이트나트륨/푸르설티아민/토코페롤아세테이트/니코틴산아미드/피리독신염산염/판토텐산칼슘/리보플라빈부티레이트/γ-오리자놀/시아노코발라민1000배산,"중쇄트리글리세리드,콩기름,레시틴,에틸바닐린,젤라틴,소르비톨액(비결정성),산화티탄,카르나우바납,적색40호,백납,팜유,농글리세린,청색1호",2007-04-23,제조,타원형,24.0,9.0,,Sodium Chondroitin Sulfate/Fursultiamine/Tocopherol Acetate/Nicotinamide/Pyridoxine Hydrochloride/Calcium Pantothenate/Riboflavin Butyrate/Gamma-Oryzanol/Cyanocobalamin Powder 0.1%
4938,일양약품(주),조인탑600정,콘드로이틴설페이트나트륨/피리독신염산염/시아노코발라민1000배산/니코틴산아미드/리보플라빈부티레이트/이노시톨/콜린타르타르산염/판토텐산칼슘/벤포티아민,"무수인산수소칼슘,미결정셀룰로오스,오파드라이클리어(03K19229),폴리에틸렌글리콜6000,크로스카멜로오스나트륨,스테아르산마그네슘,경질무수규산,오파드라이II노란색(85F12347),히드록시프로필셀룰로오스",2019-02-19,제조,장방형,20.2,8.9,,Sodium Chondroitin Sulfate/Pyridoxine Hydrochloride/Cyanocobalamin Powder 0.1%/Nicotinamide/Riboflavin Butyrate/Inositol/Choline Tartrate/Calcium Pantothenate/Benfotiamine
4939,(유)한풍제약,조인트맥스프리미엄정,콘드로이틴설페이트나트륨/벤포티아민/비스벤티아민/시아노코발라민 1000배산/피리독신염산염/판토텐산칼슘/감마오리자놀/산화마그네슘/산화아연/콜린타르타르산염/콜레칼시페롤농축분말/시트르산칼슘수화물,"오파드라이 200 브라운(200F265005),미결정셀룰로오스,폴리에틸렌글리콜6000,크로스카멜로오스나트륨,스테아르산마그네슘,경질무수규산,히드록시프로필셀룰로오스",2019-11-18,제조,타원형,17.4,10.4,,Sodium Chondroitin Sulfate/Benfotiamine/Bisbentiamine/Cyanocobalamin Powder 0.1%/Pyridoxine Hydrochloride/Calcium Pantothenate/Gamma-Oryzanol/Magnesium Oxide/Zinc Oxide/Choline Tartrate/Cholecalciferol Concentrate Powder/Calcium Citrate Hydrate
4940,(주)동구바이오제약,조인트빅300연질캡슐,콘드로이틴설페이트나트륨/푸르설티아민/리보플라빈부티레이트/니코틴산아미드/판토텐산칼슘/피리독신염산염/시아노코발라민/토코페롤아세테이트/γ-오리자놀,"콩기름,레시틴,황색5호,에틸바닐린,젤라틴,소르비톨액(비결정성),산화티탄,적색40호,팜유,백납,농글리세린",2008-06-20,제조,장방형,24.75,8.45,,Sodium Chondroitin Sulfate/Fursultiamine/Riboflavin Butyrate/Nicotinamide/Calcium Pantothenate/Pyridoxine Hydrochloride/Cyanocobalamin/Tocopherol Acetate/Gamma-Oryzanol
4941,성이바이오제약주식회사,조인트콘친600골드정,콘드로이틴설페이트나트륨/푸르설티아민/니코틴산아미드/피리독신염산염/판토텐산칼슘/리보플라빈부티레이트/감마-오리자놀/시아노코발라민 1000배산/이노시톨,"미결정셀룰로오스,스테아르산마그네슘,경질무수규산,전분글리콜산나트륨,탭쉴드갈색(99B703)",2023-06-19,제조,장방형,20.0,8.9,,Sodium Chondroitin Sulfate/Fursultiamine/Nicotinamide/Pyridoxine Hydrochloride/Calcium Pantothenate/Riboflavin Butyrate/Gamma-Oryzanol/Cyanocobalamin Powder 0.1%/Inositol
4942,일양바이오팜(주),조인트콤비800정,콘드로이틴설페이트나트륨/벤포티아민/니코틴산아미드/피리독신염산염/판토텐산칼슘/리보플라빈/메코발라민/농축콜레칼시페롤 산/이노시톨/콜린타르타르산염,"미결정셀룰로오스,크로스포비돈,스테아르산마그네슘,경질무수규산,전분글리콜산나트륨,탭쉴드갈색(99B703)",2023-08-29,제조,장방형,19.8,8.7,,Sodium Chondroitin Sulfate/Benfotiamine/Nicotinamide/Pyridoxine Hydrochloride/Calcium Pantothenate/Riboflavin/Mecobalamin/Cholecalciferol Concentrate Powder/Inositol/Choline Tartrate
4943,구주제약(주),조인파워연질캡슐,콘드로이틴설페이트나트륨/푸르설티아민/리보플라빈부티레이트/니코틴산아미드/판토텐산칼슘/피리독신염산염/시아노코발라민/토코페롤아세테이트/γ-오리자놀,"콩기름,레시틴,황색5호,에틸바닐린,젤라틴,소르비톨액(비결정성),산화티탄,적색40호,팜유,백납,농글리세린",2017-03-24,제조,장방형,24.1,8.59,,Sodium Chondroitin Sulfate/Fursultiamine/Riboflavin Butyrate/Nicotinamide/Calcium Pantothenate/Pyridoxine Hydrochloride/Cyanocobalamin/Tocopherol Acetate/Gamma-Oryzanol
4944,동성제약(주),졸리민정,아세트아미노펜/디펜히드라민염산염,"콜로이달실리콘디옥사이드,미결정셀룰로오스,히프로멜로오스,유당수화물,폴리에틸렌글리콜6000,산화티탄,스테아르산마그네슘,탤크,전분글리콜산나트륨,히드록시프로필셀룰로오스,청색1호",2005-05-20,제조,장방형,18.8,6.8,,Acetaminophen/Diphenhydramine Hydrochloride
4945,(주)종근당,종근당공파스플라스타,살리실산메틸/l-멘톨/dl-캄파/박하유/토코페롤아세테이트/디펜히드라민/노닐산바닐릴아미드,"폴리이소부틸렌,부틸레이티드히드록시톨루엔,수소첨가 C6-20폴리올레핀,폴리에틸렌테레프탈레이트 세파레이터,스티렌.이소프렌.스티렌블록공중합체,유동파라핀,부직포",2015-07-16,제조,,,,,Methyl Salicylate/L-Menthol/DL-Camphor/Mentha Herb Oil/Tocopherol Acetate/Diphenhydramine/Vanillyl Nonylamide
4946,(주)종근당,종근당류파프카타플라스마(펠비낙),펠비낙,"타르타르산,디이소프로판올아민,프로필렌글리콜,밀착포,파라옥시벤조산프로필,폴리아크릴산액,부틸히드록시톨루엔,폴리에틸렌테레프탈레이트 세파레이터,폴리아크릴산나트륨,젤라틴,산화티탄,디히드록시알루미늄아미노아세테이트수화물,페릭옥사이드,에데트산나트륨수화물,바닐릴부틸에테르,L-멘톨,파라옥시벤조산메틸,카르복시메틸셀룰로오스나트륨,농글리세린,카올린,프로필렌글리콜모노라우레이트,정제수,부직포",2009-07-13,제조,,,,,Felbinac
4947,(주)종근당,종근당벤지다민염산염액,벤지다민염산염,"시트르산수화물,자일리톨,유칼립톨,수크랄로스,폴리소르베이트20,시트르산나트륨수화물,파라옥시벤조산메틸,l-멘톨,청색1호,농글리세린,에탄올,정제수",2021-10-28,제조,,,,,Benzydamine Hydrochloride
4948,(주)종근당,종근당비타민씨골드정1000밀리그램(아스코르브산97%과립),아스코르브산97%과립,"스테아르산칼슘,저치환도히드록시프로필셀룰로오스,미결정셀룰로오스,콜로이드성이산화규소",2022-02-23,제조,장방형,18.2,8.6,,Ascorbic Acid Granules 97%
4949,(주)종근당,종근당알벤다졸정,알벤다졸,"라우릴황산나트륨,폴리소르베이트80,황색5호,오렌지미크론,히프로멜로오스,유당수화물,아스파탐,폴리에틸렌글리콜6000,콜로이드성이산화규소,스테아르산마그네슘,카르복시메틸셀룰로오스칼슘,탤크,옥수수전분,전분글리콜산나트륨,D-만니톨,히드록시프로필셀룰로오스",1993-12-04,제조,타원형,14.6,8.4,,Albendazole
4950,(주)종근당,종근당조인트콘드로정,콘드로이틴설페이트나트륨/시트르산칼슘수화물/벤포티아민/피리독신염산염/니코틴산아미드/판토텐산칼슘/농축콜레칼시페롤/리보플라빈/메코발라민/산화마그네슘,"미결정셀룰로오스,히프로멜로오스,이산화규소,폴리에틸렌글리콜6000,스테아르산마그네슘,탭쉴드갈색 (99B1283),전분글리콜산나트륨,히드록시프로필셀룰로오스",2023-07-10,제조,타원형,21.6,8.8,,Sodium Chondroitin Sulfate/Calcium Citrate Hydrate/Benfotiamine/Pyridoxine Hydrochloride/Nicotinamide/Calcium Pantothenate/Cholecalciferol Concentrate/Riboflavin/Mecobalamin/Magnesium Oxide
4951,(주)종근당,종근당캡슈겔옐로우젤라틴공캡슐5호,,"라우릴황산나트륨,젤라틴,산화티탄,산화철(황색),정제수",2013-08-22,수입,,,,일본,
4952,(주)종근당,종근당캡슈겔젤라틴공캡슐4호,,"라우릴황산나트륨,산화철(적색),젤라틴,산화티탄,정제수",2013-08-22,수입,,,,일본,
4953,(주)종근당,종근당캡슈겔화이트젤라틴공캡슐5호,,"라우릴황산나트륨,젤라틴,산화티탄,정제수",2013-08-22,수입,,,,일본,
4954,제이더블유중외제약(주),중외관류용멸균증류수,관류용멸균증류수,,1992-10-27,제조,,,,,Sterile Water For Irrigation
4955,제이더블유중외제약(주),중외펠비낙첩부제,펠비낙,"디이소프로판올아민,트리에탄올아민,프로필렌글리콜,린트포,부틸히드록시톨루엔,아크릴레이트/비닐아세테이트 점착용액,폴록사머,박리지,L-멘톨,히드록시프로필셀룰로오스,알루미늄아세틸아세토네이트용액",2005-02-02,제조,,,,,Felbinac
4956,(주)중헌제약,중헌 알마게이트정,알마게이트,"미결정셀룰로오스,콜로이드성이산화규소,스테아르산마그네슘,전분글리콜산나트륨",2016-08-10,제조,장방형,13.67,8.24,,Almagate
4957,조아제약(주),쥬르택액(세티리진염산염),세티리진염산염,"파라옥시벤조산프로필,백당,효소처리스테비아,시트르산나트륨수화물,D-소르비톨액 70%,파라옥시벤조산메틸,스트로베리엣센스 비-5016,농글리세린,에탄올,정제수",2001-09-14,제조,,,,,Cetirizine Hydrochloride
4958,조아제약(주),쥬르택정(세티리진염산염),세티리진염산염,"미결정셀룰로오스,히프로멜로오스,유당수화물,폴리에틸렌글리콜6000,산화티탄,스테아르산마그네슘,경질무수규산,전분글리콜산나트륨,히드록시프로필셀룰로오스",2009-06-26,제조,장방형,9.2,4.4,,Cetirizine Hydrochloride
4959,(주)한국파마,지노베타딘질세정액(포비돈요오드),포비돈요오드,"이게팔코 710,부케이티 8114,정제수",2000-06-27,제조,,,,,Povidone Iodine
4960,에이치엘비제약(주),지노베타딘질좌제(포비돈요오드),포비돈요오드,폴리에틸렌글리콜1540,2007-04-11,제조,,,,,Povidone Iodine
4961,삼남제약(주),지노칼골드정,탄산칼슘 과립95%/농축콜레칼시페롤 과립,"탭쉴드녹색21G025,미결정셀룰로오스,스테아르산마그네슘,카르복시메틸셀룰로오스칼슘,히드록시프로필셀룰로오스",2022-04-18,제조,장방형,12.2,6.2,,Calcium Carbonate Granules 95%/Cholecalciferol Concentrate Granules
4962,삼남제약(주),지노칼정,락트산칼슘수화물/글루콘산칼슘수화물/침강탄산칼슘/에르고칼시페롤과립,"미결정셀룰로오스,스테아르산마그네슘,카르복시메틸셀룰로오스칼슘",1994-09-06,제조,장방형,15.2,8.3,,Calcium Lactate Hydrate/Calcium Gluconate Hydrate/Precipitated Calcium Carbonate/Ergocalciferol Granules
4963,동성제약(주),지노콜시럽(구연산부타미레이트),부타미레이트시트르산염,"인산일수소나트륨,벤조산나트륨,체리후레바(엣센스),고과당,시트르산,백당,시트르산나트륨수화물,L-멘톨,파라옥시벤조산메틸,에탄올,정제수",1994-06-15,제조,,,,,Butamirate Citrate
4964,(주)퍼슨,지노클렌질세정액,포비돈요오드,"폴록사머,사과향HF-90215,정제수",1997-10-30,제조,,,,,Povidone Iodine
4965,영일제약(주),지노펜현탁액(수출명:G.Pan Suspension)(수출용),건조수산화알루미늄겔/옥세타자인/수산화마그네슘,"폴리소르베이트80,바나나에센스,히프로멜로오스,히드록시에틸 셀룰로오스,파라옥시벤조산프로필,백당,스테비온100에스,오렌지에센스(#76-GS),D-소르비톨액,클로르헥시딘아세테이트,레몬에센스,D-소르비톨액 70%,파라옥시벤조산메틸,농글리세린,정제수,에탄올",2011-04-01,제조,,,,,Dried Aluminium Hydroxide Gel/Oxethazaine/Magnesium Hydroxide
4966,(주)마더스제약,지니펜정,에페드린염산염/카페인무수물/아세트아미노펜,"미결정셀룰로오스,황색4호,유당수화물,이산화규소,젤라틴,포비돈,스테아르산마그네슘,전분글리콜산나트륨,히드록시프로필셀룰로오스,청색1호",2013-11-20,제조,원형,9.6,9.6,,Ephedrine Hydrochloride/Anhydrous Caffeine/Acetaminophen
4967,태극제약(주),지르세틴액(세티리진염산염),세티리진염산염,"시트르산수화물,글리세린,딸기향33,벤조산,백당,시트르산나트륨수화물,D-소르비톨액,정제수",2009-05-29,제조,,,,,Cetirizine Hydrochloride
4968,한국유씨비제약(주),지르텍정(세티리진염산염),세티리진염산염,"미결정셀룰로오스,유당,무수콜로이드성이산화규소,스테아르산마그네슘,오파드라이흰색(Y-1-7000),정제수",2006-06-26,수입,장방형,10.0,4.0,"스위스,이탈리아",Cetirizine Hydrochloride
4969,(주)아리제약,지벤다졸정(알벤다졸),알벤다졸,"라우릴황산나트륨,폴리소르베이트80,황색5호,오렌지미크론,히프로멜로오스,유당수화물,아스파탐,폴리에틸렌글리콜6000,콜로이드성이산화규소,스테아르산마그네슘,카르복시메틸셀룰로오스칼슘,탤크,옥수수전분,전분글리콜산나트륨,D-만니톨,히드록시프로필셀룰로오스",2020-09-09,제조,장방형,14.6,8.4,,Albendazole
4970,태극제약(주),지스톤크림,베타메타손발레레이트/겐타마이신황산염,"파라옥시벤조산프로필,세토스테아릴알코올,유동파라핀,마크로골세토스테아릴에테르,백색바셀린,파라옥시벤조산메틸,정제수",2004-12-04,제조,,,,,Betamethasone Valerate/Gentamicin Sulfate
